month,segment,revenue,transactions
2023-01,At Risk,55372.65,11
2023-01,Can't Lose Them,372612.08,50
2023-01,Champions,57390578.99,455
2023-01,Hibernating,43071.55,4
2023-01,Lost,109565.67,44
2023-01,Loyal Customers,1196087.55,106
2023-01,New Customers,34184.13,4
2023-01,Potential Loyalists,41923.29,10
2023-02,At Risk,87558.91,11
2023-02,Can't Lose Them,322021.48,37
2023-02,Champions,59038595.98,473
2023-02,Hibernating,47313.68,4
2023-02,Lost,106249.35,34
2023-02,Loyal Customers,905355.41,79
2023-02,New Customers,45117.42,5
2023-02,Potential Loyalists,62926.47,14
2023-03,At Risk,92631.34,8
2023-03,Can't Lose Them,372562.97,44
2023-03,Champions,64103560.61,520
2023-03,Hibernating,56931.4,5
2023-03,Lost,117969.18000000001,46
2023-03,Loyal Customers,1259957.76,111
2023-03,New Customers,125610.16,10
2023-03,Potential Loyalists,62031.130000000005,15
2023-04,At Risk,115492.94,13
2023-04,Can't Lose Them,320479.41000000003,38
2023-04,Champions,64929810.85,526
2023-04,Hibernating,50141.26,4
2023-04,Lost,142532.06,44
2023-04,Loyal Customers,1397466.13,116
2023-04,New Customers,7371.16,2
2023-04,Potential Loyalists,29676.239999999998,9
2023-05,At Risk,61753.95,9
2023-05,Can't Lose Them,412070.97000000003,46
2023-05,Champions,68004086.62,557
2023-05,Hibernating,53036.36,4
2023-05,Lost,181693.57,53
2023-05,Loyal Customers,1542407.19,117
2023-05,New Customers,92348.69,10
2023-05,Potential Loyalists,51599.33,14
2023-06,At Risk,59612.35,8
2023-06,Can't Lose Them,199009.11,28
2023-06,Champions,62772415.78,511
2023-06,Hibernating,106764.61,7
2023-06,Lost,134071.9,40
2023-06,Loyal Customers,1327242.95,105
2023-06,New Customers,36135.11,5
2023-06,Potential Loyalists,88713.12,20
2023-07,At Risk,57143.96,6
2023-07,Can't Lose Them,324613.55,45
2023-07,Champions,66246592.03,513
2023-07,Hibernating,58057.770000000004,4
2023-07,Lost,144780.65,48
2023-07,Loyal Customers,1657072.42,116
2023-07,New Customers,9426.9,1
2023-07,Potential Loyalists,54031.11,14
2023-08,At Risk,110655.76,14
2023-08,Can't Lose Them,392431.83,42
2023-08,Champions,61762678.16,522
2023-08,Hibernating,88462.95999999999,6
2023-08,Lost,110813.73,42
2023-08,Loyal Customers,1333400.8,109
2023-08,New Customers,101602.77,9
2023-08,Potential Loyalists,24576.66,7
2023-09,At Risk,78326.28,10
2023-09,Can't Lose Them,386993.76,47
2023-09,Champions,62716302.86,545
2023-09,Hibernating,56775.98,6
2023-09,Lost,83688.32,30
2023-09,Loyal Customers,1243513.9,114
2023-09,New Customers,61005.28,6
2023-09,Potential Loyalists,62358.85,13
2023-10,At Risk,97084.67,14
2023-10,Can't Lose Them,416206.52,47
2023-10,Champions,60341723.37,502
2023-10,Hibernating,68502.01999999999,5
2023-10,Lost,111013.97,40
2023-10,Loyal Customers,1036985.02,101
2023-10,New Customers,56114.009999999995,5
2023-10,Potential Loyalists,44052.78,11
2023-11,At Risk,75477.23,8
2023-11,Can't Lose Them,397512.66,47
2023-11,Champions,57702104.94,521
2023-11,Hibernating,75470.29,6
2023-11,Lost,98234.43,42
2023-11,Loyal Customers,1243348.18,110
2023-11,New Customers,56445.07,6
2023-11,Potential Loyalists,43886.13,12
2023-12,At Risk,57905.82000000001,7
2023-12,Can't Lose Them,386969.61,48
2023-12,Champions,57240272.61,471
2023-12,Hibernating,88698.73,7
2023-12,Lost,104865.34,45
2023-12,Loyal Customers,1350802.56,98
2023-12,New Customers,41044.68,5
2023-12,Potential Loyalists,60735.3,14
2024-01,At Risk,82971.95999999999,10
2024-01,Can't Lose Them,511155.07,51
2024-01,Champions,62204941.09,503
2024-01,Hibernating,61499.56,4
2024-01,Lost,110994.74,47
2024-01,Loyal Customers,1369023.04,100
2024-01,New Customers,25510.08,3
2024-01,Potential Loyalists,39764.57,11
2024-02,At Risk,85076.06,12
2024-02,Can't Lose Them,350271.95,46
2024-02,Champions,52243845.72,464
2024-02,Hibernating,87214.05,7
2024-02,Lost,80948.31999999999,31
2024-02,Loyal Customers,1363621.69,114
2024-02,New Customers,24516.61,3
2024-02,Potential Loyalists,53230.28,14
2024-03,At Risk,89304.93000000001,9
2024-03,Can't Lose Them,535721.84,60
2024-03,Champions,68284962.62,532
2024-03,Hibernating,54887.399999999994,5
2024-03,Lost,92406.49,38
2024-03,Loyal Customers,1222943.92,110
2024-03,New Customers,76512.96,7
2024-03,Potential Loyalists,81469.89,20
2024-04,At Risk,27814.07,3
2024-04,Can't Lose Them,305822.27,33
2024-04,Champions,54209454.23,469
2024-04,Hibernating,62961.54,4
2024-04,Lost,71321.25,27
2024-04,Loyal Customers,987756.81,95
2024-04,New Customers,72740.39,9
2024-04,Potential Loyalists,37436.03,10
2024-05,At Risk,67811.89,7
2024-05,Can't Lose Them,448768.12,53
2024-05,Champions,62991146.82,521
2024-05,Hibernating,77316.19,5
2024-05,Lost,83275.28,21
2024-05,Loyal Customers,1192942.2,109
2024-05,New Customers,58338.619999999995,4
2024-05,Potential Loyalists,69020.77,18
2024-06,At Risk,81926.3,9
2024-06,Can't Lose Them,444702.36,50
2024-06,Champions,59360158.78,498
2024-06,Hibernating,36777.44,2
2024-06,Lost,81075.21,17
2024-06,Loyal Customers,1281317.7,103
2024-06,New Customers,41300.58,5
2024-06,Potential Loyalists,53758.76,17
2024-07,At Risk,182778.84,29
2024-07,Can't Lose Them,43889.41,3
2024-07,Champions,69008030.26,521
2024-07,Loyal Customers,1466602.35,137
2024-07,New Customers,31420.05,5
2024-07,Potential Loyalists,75202.97,21
2024-08,At Risk,150076.43,20
2024-08,Champions,62670104.54,524
2024-08,Loyal Customers,1120329.1099999999,100
2024-08,New Customers,72550.43,9
2024-08,Potential Loyalists,51570.79,12
2024-09,At Risk,19233.05,2
2024-09,Champions,60308631.21,494
2024-09,Loyal Customers,693559.72,66
2024-09,New Customers,74009.52,12
2024-09,Potential Loyalists,29047.879999999997,7
2024-10,Champions,62364519.87,526
2024-10,Loyal Customers,354372.48,37
2024-10,New Customers,108098.78,11
2024-10,Potential Loyalists,23964.27,6
2024-11,Champions,50521267.01,381
2024-11,Loyal Customers,49256.5,6
2024-11,New Customers,22626.590000000004,3
2024-11,Potential Loyalists,10519.369999999999,2
2024-12,Champions,32915198.49,182
