customer_id,company_name,industry,region,employee_count,segment,recency,frequency,monetary,R_score,F_score,M_score,RFM_total,products_owned,crosssell_opportunity_score,relationship_manager
SME0001,Company 1 Ltd,Manufacturing,South,200,New Customers,51,7,81218.0,5,2,3,3.3333333333333335,5,0.95,RM015
SME0002,Company 2 Ltd,Food & Beverage,North,5,Loyal Customers,118,31,1027562.0,3,4,4,3.6666666666666665,7,0.0,RM007
SME0003,Company 3 Ltd,Professional Services,West,200,At Risk,164,6,39990.0,3,2,2,2.3333333333333335,5,0.67,RM004
SME0004,Company 4 Ltd,Professional Services,South,50,Potential Loyalists,102,9,34714.0,4,3,2,3.0,5,0.86,RM001
SME0005,Company 5 Ltd,Retail,North,100,Lost,195,8,45646.0,2,2,2,2.0,5,0.57,RM013
SME0006,Company 6 Ltd,Retail,East,25,Champions,75,44,2675755.0,4,5,5,4.666666666666667,7,0.0,RM020
SME0007,Company 7 Ltd,Retail,Central,25,Champions,44,37,928111.0,5,4,4,4.333333333333333,7,0.0,RM007
SME0008,Company 8 Ltd,Construction,North,25,Loyal Customers,153,13,77624.0,3,3,3,3.0,6,0.43,RM015
SME0009,Company 9 Ltd,Professional Services,East,50,New Customers,106,8,66278.0,4,2,3,3.0,6,0.43,RM014
SME0010,Company 10 Ltd,Professional Services,North,5,Champions,70,48,1630102.0,4,5,5,4.666666666666667,7,0.0,RM019
SME0011,Company 11 Ltd,Retail,Central,5,Can't Lose Them,201,10,81697.0,2,3,3,2.6666666666666665,5,0.76,RM020
SME0012,Company 12 Ltd,Food & Beverage,Central,10,Potential Loyalists,156,13,47453.0,3,3,2,2.6666666666666665,6,0.38,RM018
SME0013,Company 13 Ltd,Construction,South,50,At Risk,140,5,25765.0,3,2,2,2.3333333333333335,3,1.33,RM010
SME0014,Company 14 Ltd,Retail,West,10,Lost,225,1,2488.0,2,1,1,1.3333333333333333,1,1.14,RM009
SME0015,Company 15 Ltd,Retail,North,50,Champions,24,59,3986183.0,5,5,5,5.0,7,0.0,RM008
SME0016,Company 16 Ltd,Retail,North,200,Hibernating,229,8,100686.0,2,2,3,2.3333333333333335,5,0.67,RM010
SME0017,Company 17 Ltd,Manufacturing,East,5,Lost,598,2,6170.0,1,1,2,1.3333333333333333,2,0.95,RM017
SME0018,Company 18 Ltd,Healthcare,Central,50,Champions,108,18,196610.0,4,4,4,4.0,7,0.0,RM002
SME0019,Company 19 Ltd,Healthcare,North,25,Loyal Customers,139,16,99355.0,3,3,3,3.0,6,0.43,RM006
SME0020,Company 20 Ltd,Manufacturing,Central,100,Lost,330,4,10157.0,1,2,2,1.6666666666666667,3,0.95,RM005
SME0021,Company 21 Ltd,Professional Services,North,10,Lost,230,7,51368.0,2,2,2,2.0,6,0.29,RM009
SME0022,Company 22 Ltd,Retail,South,50,Champions,39,36,878784.0,5,4,4,4.333333333333333,7,0.0,RM005
SME0023,Company 23 Ltd,Manufacturing,West,100,Can't Lose Them,181,9,130028.0,2,3,3,2.6666666666666665,6,0.38,RM018
SME0024,Company 24 Ltd,Manufacturing,North,200,Potential Loyalists,172,10,62244.0,3,3,2,2.6666666666666665,5,0.76,RM020
SME0025,Company 25 Ltd,Healthcare,Central,50,Loyal Customers,146,11,131549.0,3,3,3,3.0,7,0.0,RM009
SME0026,Company 26 Ltd,Construction,South,25,New Customers,113,6,73668.0,4,2,3,3.0,5,0.86,RM017
SME0027,Company 27 Ltd,Retail,North,50,Champions,40,52,1165676.0,5,5,4,4.666666666666667,7,0.0,RM017
SME0028,Company 28 Ltd,Healthcare,East,100,Champions,7,104,30451719.0,5,5,5,5.0,7,0.0,RM012
SME0029,Company 29 Ltd,Professional Services,West,25,At Risk,159,4,9711.0,3,2,2,2.3333333333333335,3,1.33,RM007
SME0030,Company 30 Ltd,Retail,North,5,Lost,389,2,8232.0,1,1,2,1.3333333333333333,2,0.95,RM003
SME0031,Company 31 Ltd,Professional Services,South,200,Loyal Customers,66,14,153510.0,4,3,4,3.6666666666666665,6,0.52,RM010
SME0032,Company 32 Ltd,Retail,East,50,Lost,539,2,4846.0,1,1,1,1.0,2,0.71,RM002
SME0033,Company 33 Ltd,Retail,South,50,Lost,325,4,5027.0,1,2,2,1.6666666666666667,4,0.71,RM003
SME0034,Company 34 Ltd,Food & Beverage,South,10,Champions,17,87,26179225.0,5,5,5,5.0,7,0.0,RM016
SME0035,Company 35 Ltd,Food & Beverage,East,50,Lost,302,2,1296.0,2,1,1,1.3333333333333333,2,0.95,RM002
SME0036,Company 36 Ltd,Construction,South,25,Champions,52,19,215301.0,5,4,4,4.333333333333333,6,0.62,RM010
SME0037,Company 37 Ltd,Manufacturing,East,50,Loyal Customers,167,18,92213.0,3,4,3,3.3333333333333335,7,0.0,RM006
SME0038,Company 38 Ltd,Retail,North,5,Can't Lose Them,187,13,199805.0,2,3,4,3.0,5,0.86,RM011
SME0039,Company 39 Ltd,Professional Services,East,50,Lost,492,4,7283.0,1,2,2,1.6666666666666667,3,0.95,RM007
SME0040,Company 40 Ltd,Healthcare,East,500,Hibernating,297,8,93165.0,2,2,3,2.3333333333333335,5,0.67,RM015
SME0041,Company 41 Ltd,Retail,West,5,Champions,55,56,1950985.0,4,5,5,4.666666666666667,7,0.0,RM006
SME0042,Company 42 Ltd,Healthcare,East,200,Champions,70,56,2892413.0,4,5,5,4.666666666666667,7,0.0,RM020
SME0043,Company 43 Ltd,Retail,East,25,Lost,315,3,1865.0,2,1,1,1.3333333333333333,3,0.76,RM009
SME0044,Company 44 Ltd,Food & Beverage,North,100,Loyal Customers,114,10,82132.0,3,3,3,3.0,5,0.86,RM020
SME0045,Company 45 Ltd,Manufacturing,West,50,Can't Lose Them,211,17,134726.0,2,4,3,3.0,7,0.0,RM012
SME0046,Company 46 Ltd,Professional Services,Central,25,Lost,507,1,1167.0,1,1,1,1.0,1,0.86,RM019
