customer_id,company_name,segment,industry,region,monetary,products_owned,crosssell_opportunity_score,relationship_manager
SME0254,Company 254 Ltd,At Risk,Manufacturing,North,5803.0,1,1.71,RM009
SME0475,Company 475 Ltd,At Risk,Healthcare,South,7215.0,2,1.67,RM004
SME0705,Company 705 Ltd,At Risk,Retail,South,64408.0,3,1.52,RM020
SME0346,Company 346 Ltd,At Risk,Professional Services,North,5525.0,2,1.43,RM019
SME0536,Company 536 Ltd,Loyal Customers,Food & Beverage,West,115022.0,4,1.43,RM015
SME0783,Company 783 Ltd,At Risk,Manufacturing,Central,1893.0,2,1.43,RM017
SME0013,Company 13 Ltd,At Risk,Construction,South,25765.0,3,1.33,RM010
SME0661,Company 661 Ltd,At Risk,Manufacturing,North,20899.0,3,1.33,RM012
SME0724,Company 724 Ltd,At Risk,Professional Services,South,41697.0,3,1.33,RM018
SME0047,Company 47 Ltd,At Risk,Manufacturing,North,17591.0,3,1.33,RM020
SME0029,Company 29 Ltd,At Risk,Professional Services,West,9711.0,3,1.33,RM007
SME0685,Company 685 Ltd,At Risk,Food & Beverage,North,38243.0,3,1.33,RM006
SME0514,Company 514 Ltd,At Risk,Construction,Central,7780.0,3,1.33,RM009
SME0122,Company 122 Ltd,Loyal Customers,Food & Beverage,Central,103724.0,4,1.29,RM008
SME0778,Company 778 Ltd,Loyal Customers,Professional Services,Central,93761.0,4,1.29,RM010
SME0516,Company 516 Ltd,At Risk,Retail,Central,80088.0,4,1.14,RM010
SME0368,Company 368 Ltd,At Risk,Food & Beverage,East,106793.0,4,1.14,RM020
SME0481,Company 481 Ltd,At Risk,Professional Services,South,65319.0,4,1.14,RM005
SME0338,Company 338 Ltd,At Risk,Professional Services,Central,63543.0,4,1.14,RM018
SME0542,Company 542 Ltd,At Risk,Professional Services,West,79346.0,4,1.14,RM013
SME0507,Company 507 Ltd,At Risk,Food & Beverage,South,77661.0,4,1.14,RM011
SME0520,Company 520 Ltd,At Risk,Retail,East,75490.0,4,1.14,RM004
SME0163,Company 163 Ltd,At Risk,Professional Services,South,4524.0,3,1.14,RM011
SME0470,Company 470 Ltd,At Risk,Food & Beverage,West,81007.0,4,1.14,RM003
SME0760,Company 760 Ltd,Loyal Customers,Construction,East,64355.0,5,1.05,RM001
SME0133,Company 133 Ltd,Loyal Customers,Retail,West,112469.0,5,1.05,RM006
SME0699,Company 699 Ltd,Loyal Customers,Retail,North,153932.0,5,1.05,RM003
SME0512,Company 512 Ltd,Loyal Customers,Healthcare,East,69793.0,5,1.05,RM012
SME0494,Company 494 Ltd,Loyal Customers,Retail,West,141448.0,5,1.05,RM014
SME0248,Company 248 Ltd,Loyal Customers,Food & Beverage,West,186395.0,5,1.05,RM014
SME0213,Company 213 Ltd,At Risk,Professional Services,Central,25490.0,4,1.0,RM017
SME0531,Company 531 Ltd,At Risk,Construction,Central,50720.0,4,1.0,RM020
SME0374,Company 374 Ltd,At Risk,Professional Services,South,27380.0,4,1.0,RM007
SME0510,Company 510 Ltd,At Risk,Professional Services,West,15497.0,4,1.0,RM018
SME0679,Company 679 Ltd,At Risk,Food & Beverage,West,9600.0,4,1.0,RM013
SME0072,Company 72 Ltd,At Risk,Retail,Central,3318.0,3,0.95,RM013
SME0430,Company 430 Ltd,Loyal Customers,Retail,Central,133873.0,5,0.95,RM001
SME0300,Company 300 Ltd,At Risk,Retail,South,3247.0,3,0.95,RM003
SME0437,Company 437 Ltd,Loyal Customers,Retail,South,102802.0,5,0.95,RM018
SME0548,Company 548 Ltd,Loyal Customers,Professional Services,East,141434.0,5,0.95,RM002
SME0379,Company 379 Ltd,Loyal Customers,Construction,Central,108730.0,5,0.95,RM003
SME0194,Company 194 Ltd,Loyal Customers,Professional Services,South,109491.0,5,0.86,RM003
SME0413,Company 413 Ltd,Loyal Customers,Food & Beverage,West,70011.0,5,0.86,RM013
SME0223,Company 223 Ltd,Loyal Customers,Retail,East,114579.0,5,0.86,RM017
SME0639,Company 639 Ltd,Loyal Customers,Manufacturing,North,92662.0,5,0.86,RM013
SME0460,Company 460 Ltd,Loyal Customers,Retail,East,133485.0,5,0.86,RM015
SME0505,Company 505 Ltd,Loyal Customers,Professional Services,East,101632.0,5,0.86,RM006
SME0149,Company 149 Ltd,Loyal Customers,Retail,South,87550.0,5,0.86,RM006
SME0044,Company 44 Ltd,Loyal Customers,Food & Beverage,North,82132.0,5,0.86,RM020
SME0502,Company 502 Ltd,Loyal Customers,Healthcare,South,86319.0,5,0.86,RM017
